Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
gb,chester,53.2,-2.916667,45,87,75,14.99
ph,san roque,10.6043,123.7441,77,88,75,5.82
gr,marathokambos,37.726388899999996,26.69,57.2,76,0,3.36
pf,faaone,-17.6666667,-149.3,84.2,74,20,4.7
es,andoain,43.220711,-2.020336,52.12,33,0,8.05
no,skjold,59.516667000000005,5.5833330000000005,36.75,55,0,10.29
de,juchen,51.1,6.5,50.34,54,75,11.41
gb,seafield,55.966667,-3.15,38.57,93,90,11.41
uz,urtaaul,41.1866667,69.14527779999999,66.2,39,0,6.93
br,santa quiteria do maranhao,-3.516667,-42.533333,82.18,88,92,3.71
jp,hekinan,34.883333,136.98333300000002,44.6,70,40,6.93
uz,ohangaron,40.906388899999996,69.6383333,66.2,39,0,6.93
ws,sapapalii,-13.683333300000001,-172.1166667,84.52,100,76,10.54
bw,tsienyane,-21.0166667,24.3333333,75.79,73,88,4.16
it,san marzano sul sarno,40.766667,14.583332999999998,61.05,59,20,4.7
ro,darmanesti,46.366667,26.483333000000002,53.6,76,0,11.41
ru,troitskiy,57.060277,63.748113000000004,15.31,80,0,9.42
gr,prinos,40.7333333,24.6166667,51.8,93,20,4.7
dk,lillerod,55.868749,12.345809,34.41,80,75,10.29
ru,pargolovo,60.05,30.316667,28.4,46,0,4.47
id,paciran,-6.866667,112.33333300000001,80.74,100,48,8.86
br,santo antonio do ica,-3.083333,-67.95,78.4,95,92,3.6
gb,coalville,52.716667,-1.366667,42.03,100,75,16.11
ru,piterka,50.680296999999996,47.445395,12.97,67,0,3.38
gr,adendron,40.6716667,22.6044444,55.4,76,0,4.7
ua,bohuslav,49.549391,30.874396,37.63,91,92,8.86
ru,izhma,65.00833100000001,53.911278,15.76,78,76,6.96
mx,bustamante,26.533333000000002,-100.5,79.21,22,0,6.4
be,lochristi,51.1,3.833333,43.88,87,90,5.82
mx,costa rica,24.5875,-107.3875,82.4,32,5,6.93
pa,san miguel,8.457222199999999,-78.9369444,80.29,88,12,8.86
ru,armizonskoye,55.946111,67.673611,11.8,75,0,10.42
ru,yerofey pavlovich,53.966667,121.96666699999999,20.26,61,12,2.59
ph,lumil,14.181683,121.013646,75.2,100,90,6.93
ph,claveria,8.61,124.894722,69.76,96,92,2.15
it,pulsano,40.383333,17.35,59,87,90,10.29
ro,domnesti,45.2,24.833333,46.63,85,0,2.71
it,partinico,38.05,13.116667000000001,64.96,37,0,19.46
ru,yugo-kamskiy,57.703977,55.594265,21.2,62,40,13.42
ph,maricaban,11.1516,123.7679,78.94,100,56,11.77
br,guiratinga,-16.35,-53.75,88.57,65,32,1.48
gr,kavos,39.383888899999995,20.1133333,60.8,67,0,6.93
ci,tabou,4.42295,-7.3528,83.62,100,12,10.2
in,rampur,28.816667,79.033333,66.79,71,0,5.17
cr,san antonio,9.983333,-84.18333299999999,79.7,45,20,17.22
cn,huaibei,33.974444,116.79166699999999,53.02,88,0,8.41
ru,zaprudnya,56.566667,37.433333000000005,28.4,50,0,13.42
ml,koutiala,12.383333300000002,-5.4666667,97.66,28,20,6.96
gr,palaiomonastiron,39.4625,21.6586111,49.15,59,0,1.25
co,carcasi,6.627114,-72.626249,59.14,87,56,1.36
ph,quinapondan,11.158333,125.52194399999999,75.52,98,76,8.19
ro,motca,47.25,26.616667,48.2,81,0,3.36
ph,santa ana,15.0955,120.76700000000001,74.03,94,90,4.7
us,spencer,43.141388899999995,-95.1441667,43.27,65,75,11.41
ph,balagunan,7.492222,125.521111,77,83,75,3.36
de,stadthagen,52.316666999999995,9.2,48.67,65,0,16.11
